node_id,initial_energy_j,remaining_energy_j,consumed_energy_j
0,10000,9997.77,2.22768
1,10000,9995.17,4.8259
2,10000,9994.81,5.1861
3,10000,9994.48,5.51822
4,10000,9994.89,5.10609
5,10000,9995.53,4.46841
6,10000,9995.66,4.34129
7,10000,9995.97,4.02934
8,10000,9996.42,3.58015
9,10000,9997.52,2.48398
10,10000,9998.22,1.77811
11,10000,9998.14,1.8644
12,10000,9996.46,3.53879
13,10000,9996.8,3.19951
14,10000,9995.25,4.74837
15,10000,9995.95,4.04694
16,10000,9997.12,2.88203
17,10000,9996.22,3.77886
18,10000,9996.24,3.75805
19,10000,9997.11,2.88968
